Number,Id,Name,Title,Fed,Elo,NElo,Born,flag,Games,Club/City,#Trns
944,4600037,"Lobron, Eric",GM,Germany,2507,,1960,,,SG 1868 Aljech. Soli,28
945,1201530,"Manolache, Marius",GM,Romania,2507,,1973,,,Cs Studentesc Medici,200
946,330027,"Kriebel, Tadeas",IM,Czech Republic,2507,,1995,,,Novoborsky Sk,153
947,409200,"Ghasi, Ameet K",IM,England,2507,,1987,,,4NCL e2e4.org.uk,57
948,922692,"Stojanovic, Dalibor",GM,Bosnia & Herz.,2507,,1983,,,,172
949,4116194,"Lugovoi, Aleksei",GM,Russia,2507,,1975,,,SANKTPETERBURGA,45
950,4159659,"Yudin, Sergei",GM,Russia,2507,,1986,,,,117
951,5029104,"Stany, G A",IM,India,2507,,1993,,,,149
952,8600678,"Li, Shilong",GM,China,2507,,1977,,,,122
953,14103516,"Vysochin, Spartak",GM,Ukraine,2507,,1975,,,,151
954,14105403,"Savinov, Viktor",IM,Ukraine,2507,,1966,i,,,5
955,8000000006,"Staunton, Howard",,Unknown,2507,,0,i,,,0
956,2205092,"Arizmendi Martinez, Julen Luis",GM,Spain,2506,,1976,,,Eva Manises,131
957,3404650,"Castellanos Rodriguez, Renier",IM,Spain,2506,,1982,,,Alzira,127
958,605492,"Nataf, Igor-Alexandre",GM,France,2506,,1978,i,,,112
959,2069342,"Checa, Nicolas",IM,USA,2506,,2001,,,,66
960,2809958,"Baron, Tal",GM,Israel,2506,,1992,,,,129
961,2901188,"Petkov, Vladimir",GM,Bulgaria,2506,,1971,,,,288
962,3500012,"Arencibia Rodriguez, Walter",GM,Cuba,2506,,1967,i,,,91
963,3501728,"Becerra Rivero, Julio",GM,USA,2506,,1973,,,,126
964,4402669,"Gallego Alcaraz, Andres Felipe",GM,Colombia,2506,,1989,,,,149
965,13500031,"Dydyshko, Viacheslav",GM,Belarus,2506,,1949,i,,,67
966,13500945,"Smetankin, Stanislav",IM,Belarus,2506,,1980,i,,,34
967,8000001703,"Teed, Frank Melville",,Unknown,2506,,0,i,,,0
968,2804140,"Golod, Vitali",GM,Israel,2505,,1971,,,Schachverein Muelhei,184
969,2602504,"Charbonneau, Pascal",GM,Canada,2505,,1983,i,,,124
970,1107836,"Blehm, Pawel",GM,Poland,2505,,1980,i,,,50
971,2907313,"Grigorov, Grigor",GM,Bulgaria,2505,,1987,,,,107
972,14100045,"Shneider, Aleksandr",GM,Ukraine,2505,,1962,i,,SC Boeblingen 1975 e,48
973,3700267,"Cubas, Jose Fernando",GM,Paraguay,2505,,1981,,,,188
974,401978,"Kumaran, Dharshan",GM,England,2505,,1975,i,,,3
975,2021030,"Hungaski, Robert",GM,USA,2505,,1987,,,,126
976,921661,"Muratovic, Alija",GM,Serbia,2505,,1962,i,,,31
977,1111078,"Antoniewski, Rafal",GM,Poland,2505,,1980,,,Sv Pamhagen,138
978,2000237,"Rogoff, Kenneth",GM,USA,2505,,1953,i,,,0
979,2000288,"Ivanov, Igor V",IM,USA,2505,,0,i,,,25
980,3405400,"Morovic Fernandez, Ivan",GM,Chile,2505,,1963,,,,42
981,4100417,"Machulsky, Anatoly D",GM,Russia,2505,,1956,i,,,0
982,4101103,"Makarov, Marat",GM,Russia,2505,,1963,i,,,56
